0	admin	0	0			0
1	usuario	100	1000			126
2	1414	5	2000			161
3	8888	200	3000			200
4	4444	5000	4000			1660
5	2323	0	50000			600
6	1233312333123334	1000	3000			9100
7	3333333333333333	5000	7000			5000
8	123	0	2500			0
9	5555555555555555	0	2500			0
10	3333333333333333	5000	10000			5000
11	6666666666666666	5000	10000			5000
12	6666666666666666	5000	10000			5000
0	admin	0	0			0
1	usuario	100	1000			126
2	1414	5	2000			161
3	8888	200	3000			200
4	4444	5000	4000			1660
5	2323	0	50000			600
6	1233312333123334	1000	3000			1100
7	3333333333333333	5000	7000			5000
8	123	0	2500			0
9	5555555555555555	0	2500			0
10	3333333333333333	5000	10000			5000
11	6666666666666666	5000	10000			5000
12	6666666666666666	5000	10000			5000
0	admin	0	0			0
1	usuario	100	1000			126
2	1414	5	2000			161
3	8888	200	3000			200
4	4444	5000	4000			1660
5	2323	0	50000			600
6	1233312333123334	1000	3000			1100
7	3333333333333333	5000	7000			5000
8	123	0	2500			0
9	5555555555555555	0	2500			0
10	3333333333333333	5000	10000			5000
11	6666666666666666	5000	10000			5000
12	6666666666666666	5000	10000			5000
0	admin	0	0			0
1	usuario	100	1000			126
2	1414	5	2000			161
3	8888	200	3000			200
4	4444	5000	4000			1660
5	2323	0	50000			600
6	1233312333123334	1000	3000			1100
7	3333333333333333	5000	7000			5000
8	123	0	2500			0
9	5555555555555555	0	2500			0
10	3333333333333333	5000	10000			5000
11	6666666666666666	5000	10000			5000
12	6666666666666666	5000	10000			5000
13	5555555555555555	15000	2000			15000
